event_date,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,longitude,latitude,Landslide_date,start_date_30d,start_date_60d
2009-01-08 00:00:00,5km,mudslide,Unknown,small,Unknown,-122.909,46.1299,2009-01-08,2008-12-09,2008-11-09
2009-01-08 01:00:00,5km,complex,rain,small,Unknown,-122.273,47.538,2009-01-08,2008-12-09,2008-11-09
2009-01-08 06:00:00,5km,mudslide,rain,small,Unknown,-122.037,48.929,2009-01-08,2008-12-09,2008-11-09
2009-01-13 00:00:00,5km,landslide,downpour,medium,Unknown,5.765,36.7946,2009-01-13,2008-12-14,2008-11-14
2009-01-13 08:50:00,1km,mudslide,rain,small,Unknown,-122.2072,47.7573,2009-01-13,2008-12-14,2008-11-14
2009-01-16 13:00:00,10km,landslide,rain,medium,Unknown,110.3442,1.531,2009-01-16,2008-12-17,2008-11-17
2009-01-19 23:00:00,25km,landslide,rain,medium,Unknown,116.662,-8.5073,2009-01-19,2008-12-20,2008-11-20
2009-08-13 00:00:00,5km,landslide,downpour,medium,Unknown,-13.2287,8.4841,2009-08-13,2009-07-14,2009-06-14
2009-01-22 00:00:00,5km,landslide,downpour,medium,Unknown,115.0668,5.031,2009-01-22,2008-12-23,2008-11-23
2009-01-22 00:00:00,50km,landslide,downpour,medium,Unknown,-99.1276,19.4271,2009-01-22,2008-12-23,2008-11-23
2009-01-26 00:00:00,5km,mudslide,downpour,medium,Unknown,14.252,40.8403,2009-01-26,2008-12-27,2008-11-27
2009-07-22 00:00:00,10km,landslide,downpour,medium,Unknown,88.2788,26.8826,2009-07-22,2009-06-22,2009-05-23
2009-02-06 00:00:00,5km,mudslide,rain,small,Unknown,-118.05,34.162,2009-02-06,2009-01-07,2008-12-08
2009-07-22 00:00:00,10km,landslide,downpour,medium,Unknown,88.3143,26.8572,2009-07-22,2009-06-22,2009-05-23
2009-02-07 00:00:00,5km,landslide,downpour,medium,Unknown,123.226,9.29,2009-02-07,2009-01-08,2008-12-09
2009-09-09 00:00:00,10km,landslide,downpour,medium,Unknown,121.56,14.545,2009-09-09,2009-08-10,2009-07-11
2009-04-20 09:00:00,1km,mudslide,downpour,small,Unknown,-79.4305,37.9137,2009-04-20,2009-03-21,2009-02-19
2009-08-23 00:00:00,5km,complex,downpour,small,Unknown,145.9063,-41.0528,2009-08-23,2009-07-24,2009-06-24
2009-07-02 03:00:00,50km,landslide,monsoon,medium,Unknown,83.9806,28.2039,2009-07-02,2009-06-02,2009-05-03
2009-07-02 00:00:00,25km,landslide,monsoon,medium,Unknown,84.2279,27.9447,2009-07-02,2009-06-02,2009-05-03
2009-07-21 00:00:00,5km,landslide,downpour,medium,Unknown,131.5729,34.0496,2009-07-21,2009-06-21,2009-05-22
2017-05-19 20:14:00,1km,mudslide,rain,small,urban,-83.712126,36.770029,2017-05-19,2017-04-19,2017-03-20
2009-07-24 00:00:00,10km,landslide,downpour,medium,Unknown,132.4592,34.3852,2009-07-24,2009-06-24,2009-05-25
2009-07-25 00:00:00,5km,landslide,downpour,medium,Unknown,103.5868,31.483,2009-07-25,2009-06-25,2009-05-26
2009-07-01 05:40:00,1km,landslide,downpour,medium,Unknown,88.527,27.478,2009-07-01,2009-06-01,2009-05-02
2009-07-27 00:00:00,25km,landslide,monsoon,large,Unknown,85.71,28.0,2009-07-27,2009-06-27,2009-05-28
2009-07-31 00:00:00,50km,landslide,monsoon,medium,Unknown,83.8791,28.1046,2009-07-31,2009-07-01,2009-06-01
2009-09-20 18:30:00,10km,mudslide,downpour,medium,Unknown,-132.7269,56.5561,2009-09-20,2009-08-21,2009-07-22
2009-09-22 02:00:00,5km,mudslide,downpour,medium,Unknown,-132.7348,56.5692,2009-09-22,2009-08-23,2009-07-24
2009-09-22 05:00:00,5km,mudslide,downpour,medium,Unknown,-132.5617,56.5787,2009-09-22,2009-08-23,2009-07-24
2009-11-18 00:00:00,1km,mudslide,downpour,small,Unknown,-122.5562,47.2846,2009-11-18,2009-10-19,2009-09-19
2009-11-21 00:00:00,25km,landslide,downpour,medium,Unknown,109.9187,-7.571,2009-11-21,2009-10-22,2009-09-22
2017-07-03 14:33:00,25km,landslide,downpour,small,above_road,104.4530851,22.69040325,2017-07-03,2017-06-03,2017-05-04
2009-12-09 00:00:00,5km,mudslide,downpour,small,Unknown,-85.3697,35.0672,2009-12-09,2009-11-09,2009-10-10
2009-12-09 00:00:00,5km,mudslide,downpour,small,Unknown,-85.3361,35.1052,2009-12-09,2009-11-09,2009-10-10
2010-01-01 00:00:00,25km,mudslide,downpour,large,Unknown,-44.32249842,-23.01374445,2010-01-01,2009-12-02,2009-11-02
2015-02-06 13:18:00,exact,landslide,Unknown,Unknown,above_road,-123.1587,45.2335,2015-02-06,2015-01-07,2014-12-08
2010-04-05 00:00:00,1km,landslide,downpour,medium,Unknown,-43.07409842,-22.89234445,2010-04-05,2010-03-06,2010-02-04
2010-07-29 23:00:00,25km,landslide,downpour,medium,Unknown,94.48214677,25.3098633,2010-07-29,2010-06-29,2010-05-30
2010-08-06 00:00:00,5km,landslide,downpour,medium,Unknown,74.8609,36.6567,2010-08-06,2010-07-07,2010-06-07
2010-10-16 00:00:00,25km,landslide,tropical_cyclone,medium,Unknown,123.9153,10.395,2010-10-16,2010-09-16,2010-08-17
2011-07-21 00:00:00,25km,landslide,rain,medium,Unknown,79.6367,29.7334,2011-07-21,2011-06-21,2011-05-22
2010-10-17 00:00:00,25km,landslide,tropical_cyclone,medium,Unknown,123.72,10.57,2010-10-17,2010-09-17,2010-08-18
2010-10-17 00:00:00,10km,landslide,tropical_cyclone,medium,Unknown,123.98,10.77,2010-10-17,2010-09-17,2010-08-18
2011-01-12 00:00:00,10km,mudslide,downpour,very_large,Unknown,-42.6018,-22.2331,2011-01-12,2010-12-13,2010-11-13
2007-03-19 00:00:00,25km,landslide,rain,medium,Unknown,74.3333,33.8778,2007-03-19,2007-02-17,2007-01-18
2011-05-04 09:00:00,1km,mudslide,downpour,small,Unknown,-73.0562,44.9378,2011-05-04,2011-04-04,2011-03-05
2011-06-29 00:00:00,50km,landslide,downpour,medium,Unknown,78.7963,30.7666,2011-06-29,2011-05-30,2011-04-30
2011-07-03 00:00:00,Unknown,landslide,downpour,medium,Unknown,83.5754,27.7394,2011-07-03,2011-06-03,2011-05-04
2013-07-21 00:00:00,5km,landslide,rain,medium,Unknown,123.8725,10.335,2013-07-21,2013-06-21,2013-05-22
2011-07-03 00:00:00,25km,landslide,downpour,medium,Unknown,83.2934,28.3683,2011-07-03,2011-06-03,2011-05-04
2011-07-03 00:00:00,5km,landslide,downpour,medium,Unknown,83.2934,28.0889,2011-07-03,2011-06-03,2011-05-04
2017-06-02 13:34:00,10km,landslide,tropical_cyclone,medium,natural_slope,-96.22255907,16.09880042,2017-06-02,2017-05-03,2017-04-03
2011-07-09 00:00:00,50km,landslide,downpour,medium,Unknown,78.5925,30.7652,2011-07-09,2011-06-09,2011-05-10
2011-07-09 00:00:00,25km,landslide,downpour,medium,Unknown,79.0685,30.7331,2011-07-09,2011-06-09,2011-05-10
2011-07-09 00:00:00,25km,landslide,downpour,medium,Unknown,78.4129,31.0188,2011-07-09,2011-06-09,2011-05-10
2017-01-06 14:34:00,25km,rock_fall,Unknown,small,above_road,-119.7795082,37.67607624,2017-01-06,2016-12-07,2016-11-07
2017-05-30 13:34:00,25km,landslide,rain,small,above_road,120.9613282,16.77787239,2017-05-30,2017-04-30,2017-03-31
2011-07-16 00:00:00,Unknown,mudslide,downpour,medium,Unknown,-36.9541,-8.8137,2011-07-16,2011-06-16,2011-05-17
2012-02-14 00:00:00,10km,landslide,downpour,medium,Unknown,123.92,10.39,2012-02-14,2012-01-15,2011-12-16
2011-07-16 00:00:00,5km,mudslide,downpour,medium,Unknown,-34.8813,-8.0543,2011-07-16,2011-06-16,2011-05-17
2011-07-21 00:00:00,25km,landslide,rain,medium,Unknown,79.3318,30.4043,2011-07-21,2011-06-21,2011-05-22
2011-07-22 00:00:00,50km,landslide,tropical_cyclone,medium,Unknown,-103.7244,19.2444,2011-07-22,2011-06-22,2011-05-23
2011-07-22 00:00:00,Unknown,landslide,tropical_cyclone,medium,Unknown,-99.538,17.4974,2011-07-22,2011-06-22,2011-05-23
2017-07-03 18:04:00,5km,landslide,rain,medium,above_road,84.54704621,27.83196401,2017-07-03,2017-06-03,2017-05-04
2011-07-22 00:00:00,Unknown,landslide,tropical_cyclone,medium,Unknown,-101.7023,19.5805,2011-07-22,2011-06-22,2011-05-23
2012-02-16 00:00:00,25km,landslide,downpour,medium,Unknown,124.9705,10.6073,2012-02-16,2012-01-17,2011-12-18
2009-11-17 00:00:00,5km,mudslide,downpour,small,Unknown,-122.8001,49.0229,2009-11-17,2009-10-18,2009-09-18
2011-07-22 00:00:00,Unknown,landslide,tropical_cyclone,medium,Unknown,-104.8334,21.7595,2011-07-22,2011-06-22,2011-05-23
2011-07-30 00:00:00,10km,mudslide,rain,small,Unknown,-107.1291,39.4274,2011-07-30,2011-06-30,2011-05-31
2011-07-30 00:00:00,10km,mudslide,rain,small,Unknown,-107.2225,39.4977,2011-07-30,2011-06-30,2011-05-31
2011-09-17 09:00:00,5km,landslide,downpour,medium,Unknown,82.6474,28.3875,2011-09-17,2011-08-18,2011-07-19
2012-02-14 00:00:00,10km,landslide,downpour,medium,Unknown,123.89,10.37,2012-02-14,2012-01-15,2011-12-16
2012-02-14 00:00:00,10km,landslide,downpour,medium,Unknown,123.91,10.42,2012-02-14,2012-01-15,2011-12-16
2016-08-16 19:22:00,exact,landslide,rain,large,natural_slope,88.492,27.593,2016-08-16,2016-07-17,2016-06-17
2012-05-02 00:00:00,10km,landslide,downpour,large,Unknown,-124.01,42.9744,2012-05-02,2012-04-02,2012-03-03
2012-09-18 00:00:00,1km,landslide,downpour,medium,Unknown,77.1029,31.0226,2012-09-18,2012-08-19,2012-07-20
2012-09-19 00:00:00,10km,landslide,downpour,large,Unknown,88.556,27.8385,2012-09-19,2012-08-20,2012-07-21
2012-09-19 00:00:00,10km,landslide,downpour,large,Unknown,88.605,27.6558,2012-09-19,2012-08-20,2012-07-21
2012-10-19 00:00:00,Unknown,landslide,downpour,medium,Unknown,-0.9992,5.5779,2012-10-19,2012-09-19,2012-08-20
2016-09-02 18:04:00,5km,landslide,Unknown,small,Unknown,84.854632,27.769034,2016-09-02,2016-08-03,2016-07-04
2012-12-25 03:00:00,5km,landslide,rain,medium,Unknown,-60.55,11.3169,2012-12-25,2012-11-25,2012-10-26
2017-07-04 14:33:00,5km,landslide,rain,medium,natural_slope,91.92597729,21.61900923,2017-07-04,2017-06-04,2017-05-05
2013-05-28 00:00:00,5km,landslide,downpour,medium,Unknown,-79.8897,9.3381,2013-05-28,2013-04-28,2013-03-29
2013-05-28 00:00:00,5km,landslide,downpour,medium,Unknown,-79.9029,9.3581,2013-05-28,2013-04-28,2013-03-29
2013-06-16 00:00:00,50km,landslide,rain,medium,Unknown,78.3881,30.4954,2013-06-16,2013-05-17,2013-04-17
2013-06-16 00:00:00,50km,landslide,rain,medium,Unknown,78.6695,30.885,2013-06-16,2013-05-17,2013-04-17
2013-06-16 00:00:00,50km,landslide,rain,medium,Unknown,80.417,29.7986,2013-06-16,2013-05-17,2013-04-17
2017-05-30 13:34:00,exact,rock_fall,rain,small,above_road,-85.97897289,36.27009466,2017-05-30,2017-04-30,2017-03-31
2013-06-19 00:00:00,5km,mudslide,downpour,medium,Unknown,-116.9044,50.0023,2013-06-19,2013-05-20,2013-04-20
2013-06-25 08:00:00,Unknown,landslide,downpour,medium,Unknown,77.5947,10.9628,2013-06-25,2013-05-26,2013-04-26
2013-06-25 08:00:00,Unknown,landslide,downpour,medium,Unknown,77.5947,10.9628,2013-06-25,2013-05-26,2013-04-26
2013-07-14 00:00:00,25km,landslide,Unknown,medium,Unknown,82.1847,28.4311,2013-07-14,2013-06-14,2013-05-15
2013-07-17 00:00:00,50km,mudslide,rain,medium,Unknown,93.9413,25.7658,2013-07-17,2013-06-17,2013-05-18
2013-07-14 00:00:00,25km,landslide,Unknown,medium,Unknown,82.4393,28.6202,2013-07-14,2013-06-14,2013-05-15
2013-07-17 00:00:00,50km,mudslide,rain,medium,Unknown,94.0885,25.7131,2013-07-17,2013-06-17,2013-05-18
2013-07-21 00:00:00,5km,landslide,rain,medium,Unknown,123.888,10.329,2013-07-21,2013-06-21,2013-05-22
2017-06-13 15:17:00,25km,landslide,continuous_rain,large,urban,91.83258101,22.35037081,2017-06-13,2017-05-14,2017-04-14
2013-10-09 00:00:00,10km,landslide,rain,medium,Unknown,12.3966,47.446,2013-10-09,2013-09-09,2013-08-10
2015-05-17 00:00:00,1km,landslide,rain,medium,urban,-117.0898,32.5196,2015-05-17,2015-04-17,2015-03-18
2017-06-30 16:00:00,50km,landslide,continuous_rain,medium,natural_slope,106.7121322,-6.522155904,2017-06-30,2017-05-31,2017-05-01
2017-07-01 16:00:00,5km,landslide,downpour,small,above_road,94.24416766,26.1445447,2017-07-01,2017-06-01,2017-05-02
2017-07-05 19:39:00,25km,landslide,continuous_rain,medium,natural_slope,92.10434768,21.23699085,2017-07-05,2017-06-05,2017-05-06
2017-07-03 15:17:00,1km,landslide,continuous_rain,medium,natural_slope,91.87202793,26.20450454,2017-07-03,2017-06-03,2017-05-04
2017-07-01 14:33:00,exact,debris_flow,downpour,medium,engineered_slope,-72.34106092,43.65859938,2017-07-01,2017-06-01,2017-05-02
2017-07-02 15:17:00,50km,landslide,continuous_rain,small,below_road,92.03513581,22.77997113,2017-07-02,2017-06-02,2017-05-03
2017-07-04 16:00:00,exact,rock_fall,no_apparent_trigger,small,natural_slope,-112.9476039,37.29584217,2017-07-04,2017-06-04,2017-05-05
2017-07-04 16:00:00,1km,landslide,continuous_rain,small,above_road,94.12901274,25.4976444,2017-07-04,2017-06-04,2017-05-05
2017-06-12 17:43:00,50km,mudslide,Unknown,Unknown,Unknown,-100.3120723,17.85175828,2017-06-12,2017-05-13,2017-04-13
2017-07-03 14:33:00,25km,landslide,downpour,medium,natural_slope,105.4244893,23.16100191,2017-07-03,2017-06-03,2017-05-04
2017-07-03 16:00:00,10km,landslide,continuous_rain,medium,Unknown,91.92053028,26.22247247,2017-07-03,2017-06-03,2017-05-04
2017-07-03 14:33:00,5km,landslide,downpour,small,Unknown,91.85158907,26.1061808,2017-07-03,2017-06-03,2017-05-04
2017-07-03 14:33:00,5km,landslide,downpour,small,Unknown,91.86227824,26.10430759,2017-07-03,2017-06-03,2017-05-04
2017-06-13 15:17:00,250km,landslide,continuous_rain,large,Unknown,92.22099982,22.74955141,2017-06-13,2017-05-14,2017-04-14
2017-07-03 14:33:00,25km,landslide,downpour,small,above_road,105.1593663,22.77992936,2017-07-03,2017-06-03,2017-05-04
2017-06-29 14:33:00,1km,landslide,no_apparent_trigger,small,natural_slope,-80.00630324,40.24298211,2017-06-29,2017-05-30,2017-04-30
2017-06-13 18:48:00,10km,landslide,downpour,medium,natural_slope,91.91261915,22.80452414,2017-06-13,2017-05-14,2017-04-14
2016-09-02 18:04:00,5km,landslide,Unknown,large,above_road,77.109719,31.956546,2016-09-02,2016-08-03,2016-07-04
2017-07-02 19:39:00,10km,landslide,rain,small,Unknown,85.91050294,27.90362599,2017-07-02,2017-06-02,2017-05-03
2017-07-04 19:39:00,1km,landslide,rain,medium,above_road,94.21263589,27.98531715,2017-07-04,2017-06-04,2017-05-05
2017-07-01 16:00:00,5km,landslide,continuous_rain,small,above_road,94.24222574,26.11613908,2017-07-01,2017-06-01,2017-05-02
2017-06-19 19:39:00,5km,mudslide,downpour,small,above_road,-72.44447441,43.10590179,2017-06-19,2017-05-20,2017-04-20
2017-07-01 16:00:00,1km,landslide,downpour,small,natural_slope,175.2344014,-36.95665535,2017-07-01,2017-06-01,2017-05-02
2017-07-05 19:39:00,5km,landslide,continuous_rain,medium,natural_slope,92.17584376,21.42181705,2017-07-05,2017-06-05,2017-05-06
2017-07-04 19:39:00,10km,landslide,rain,small,above_road,94.26296826,27.97875751,2017-07-04,2017-06-04,2017-05-05
2016-09-08 18:04:00,5km,landslide,rain,medium,above_road,123.821113,10.283626,2016-09-08,2016-08-09,2016-07-10
2017-06-14 18:48:00,25km,landslide,downpour,medium,natural_slope,92.21525816,21.04270451,2017-06-14,2017-05-15,2017-04-15
2017-07-05 16:00:00,5km,landslide,continuous_rain,medium,above_road,88.29518925,26.90298048,2017-07-05,2017-06-05,2017-05-06
2017-06-28 16:00:00,10km,landslide,other,large,above_road,92.87641207,23.69461107,2017-06-28,2017-05-29,2017-04-29
2017-07-04 16:00:00,1km,landslide,continuous_rain,small,natural_slope,-61.54264771,10.68399129,2017-07-04,2017-06-04,2017-05-05
2017-07-01 16:00:00,10km,landslide,continuous_rain,medium,urban,106.78629,-6.558993431,2017-07-01,2017-06-01,2017-05-02
2017-07-02 16:00:00,1km,landslide,continuous_rain,large,natural_slope,108.5421686,28.54909078,2017-07-02,2017-06-02,2017-05-03
2017-07-03 18:04:00,1km,landslide,rain,medium,above_road,167.940244,-44.675943,2017-07-03,2017-06-03,2017-05-04
2017-07-05 19:39:00,25km,landslide,no_apparent_trigger,very_large,natural_slope,-109.4847675,43.21843612,2017-07-05,2017-06-05,2017-05-06
2017-07-01 16:00:00,1km,landslide,downpour,medium,above_road,94.55427723,26.3312531,2017-07-01,2017-06-01,2017-05-02
2017-07-06 19:39:00,1km,landslide,continuous_rain,medium,above_road,88.25902123,27.02149311,2017-07-06,2017-06-06,2017-05-07
2016-08-16 12:40:00,1km,landslide,rain,small,natural_slope,83.567989,28.372874,2016-08-16,2016-07-17,2016-06-17
2017-06-25 13:10:00,100km,mudslide,rain,medium,above_road,75.19605556,38.74738889,2017-06-25,2017-05-26,2017-04-26
2017-06-13 13:27:00,5km,landslide,Unknown,small,below_road,-2.345003962,52.1104766,2017-06-13,2017-05-14,2017-04-14
2016-08-15 12:40:00,5km,mudslide,continuous_rain,medium,urban,120.595832,16.404676,2016-08-15,2016-07-16,2016-06-16
2017-06-19 20:14:00,5km,mudslide,rain,medium,urban,3.381341033,6.622961187,2017-06-19,2017-05-20,2017-04-20
2017-06-01 13:34:00,1km,rock_fall,Unknown,small,above_road,-105.4129317,38.48258714,2017-06-01,2017-05-02,2017-04-02
2017-05-15 13:34:00,1km,landslide,Unknown,small,above_road,-111.6038025,39.12221676,2017-05-15,2017-04-15,2017-03-16
2017-06-05 13:20:00,10km,landslide,leaking_pipe,small,above_road,18.18030889,42.62244921,2017-06-05,2017-05-06,2017-04-06
2017-05-20 20:14:00,5km,mudslide,rain,medium,above_river,37.559988,-0.58474,2017-05-20,2017-04-20,2017-03-21
2017-05-19 13:15:00,10km,riverbank_collapse,rain,medium,above_river,96.82040086,17.06998518,2017-05-19,2017-04-19,2017-03-20
2017-05-13 14:21:00,exact,rock_fall,Unknown,medium,above_road,-83.02836628,36.50129467,2017-05-13,2017-04-13,2017-03-14
2017-05-16 13:15:00,exact,landslide,rain,small,retaining_wall,-103.7798821,44.3517732,2017-05-16,2017-04-16,2017-03-17
2017-06-05 13:34:00,10km,rock_fall,Unknown,medium,above_road,94.29816252,23.19807165,2017-06-05,2017-05-06,2017-04-06
2017-05-17 18:48:00,5km,landslide,Unknown,small,natural_slope,-111.678278,40.61990972,2017-05-17,2017-04-17,2017-03-18
2017-06-05 13:34:00,exact,rock_fall,Unknown,small,above_road,-81.6651904,38.37512397,2017-06-05,2017-05-06,2017-04-06
2017-06-19 13:15:00,1km,landslide,Unknown,small,urban,93.6146564,27.06992579,2017-06-19,2017-05-20,2017-04-20
2016-08-14 12:40:00,5km,landslide,rain,large,natural_slope,85.01,28.069957,2016-08-14,2016-07-15,2016-06-15
2017-05-29 13:34:00,10km,landslide,rain,small,natural_slope,41.98700247,45.08144863,2017-05-29,2017-04-29,2017-03-30
2017-06-01 13:34:00,25km,landslide,rain,small,below_road,-117.226052,47.67463292,2017-06-01,2017-05-02,2017-04-02
2017-06-05 13:34:00,25km,landslide,rain,small,above_road,75.46743478,34.27703802,2017-06-05,2017-05-06,2017-04-06
2017-05-31 13:34:00,5km,landslide,Unknown,small,above_road,-121.6697643,37.74061109,2017-05-31,2017-05-01,2017-04-01
2017-06-27 13:20:00,5km,rock_fall,Unknown,medium,above_road,-122.8035956,43.20953132,2017-06-27,2017-05-28,2017-04-28
2017-05-27 13:34:00,1km,landslide,rain,medium,mine,80.26097734,16.28332586,2017-05-27,2017-04-27,2017-03-28
2017-05-19 20:14:00,5km,rock_fall,Unknown,small,above_road,-105.4935275,38.45256863,2017-05-19,2017-04-19,2017-03-20
2017-06-29 13:20:00,250km,mudslide,rain,medium,natural_slope,72.45209341,41.25565464,2017-06-29,2017-05-30,2017-04-30
2017-05-24 20:14:00,5km,landslide,Unknown,small,above_road,-111.5601178,39.13679306,2017-05-24,2017-04-24,2017-03-25
2016-08-10 19:22:00,1km,landslide,continuous_rain,small,above_road,80.237218,30.070512,2016-08-10,2016-07-11,2016-06-11
2016-08-17 12:40:00,exact,landslide,construction,small,engineered_slope,-2.48863,53.702353,2016-08-17,2016-07-18,2016-06-18
2016-08-19 17:15:00,exact,mudslide,downpour,very_large,urban,106.801076,-6.311708,2016-08-19,2016-07-20,2016-06-20
2017-06-26 13:20:00,10km,landslide,downpour,medium,above_road,93.20266204,24.21988831,2017-06-26,2017-05-27,2017-04-27
2017-05-28 13:34:00,25km,rock_fall,rain,small,above_road,121.7334279,24.89456743,2017-05-28,2017-04-28,2017-03-29
2016-08-09 13:37:00,5km,landslide,rain,small,above_road,86.1804,27.6835,2016-08-09,2016-07-10,2016-06-10
2017-06-10 13:27:00,5km,mudslide,rain,medium,urban,-100.6903727,17.1523721,2017-06-10,2017-05-11,2017-04-11
2017-05-12 13:28:00,1km,mudslide,rain,small,Unknown,-111.650935,40.48808507,2017-05-12,2017-04-12,2017-03-13
2017-06-01 13:34:00,5km,landslide,rain,small,above_road,76.8694278,11.34165808,2017-06-01,2017-05-02,2017-04-02
2017-05-28 13:34:00,exact,mudslide,snowfall_snowmelt,large,natural_slope,71.27547914,39.19779968,2017-05-28,2017-04-28,2017-03-29
2017-05-29 13:34:00,5km,landslide,continuous_rain,small,below_road,93.61589869,22.65620215,2017-05-29,2017-04-29,2017-03-30
2017-05-20 20:14:00,1km,landslide,other,medium,urban,43.39854621,41.83695379,2017-05-20,2017-04-20,2017-03-21
2017-06-21 18:51:00,5km,landslide,rain,small,above_road,75.37123,32.62803,2017-06-21,2017-05-22,2017-04-22
2017-06-24 13:10:00,10km,landslide,rain,medium,above_road,98.92090376,29.71492436,2017-06-24,2017-05-25,2017-04-25
2017-05-29 13:34:00,5km,landslide,Unknown,small,above_road,-116.6803679,46.59738913,2017-05-29,2017-04-29,2017-03-30
2017-06-04 13:34:00,50km,landslide,continuous_rain,medium,natural_slope,92.94670614,25.15246863,2017-06-04,2017-05-05,2017-04-05
2016-08-13 19:22:00,25km,landslide,continuous_rain,medium,above_road,116.732231,24.725938,2016-08-13,2016-07-14,2016-06-14
2017-06-27 13:20:00,5km,landslide,downpour,medium,above_road,93.18182448,24.30415689,2017-06-27,2017-05-28,2017-04-28
2017-05-20 20:14:00,5km,landslide,Unknown,medium,above_road,79.56163208,30.56504675,2017-05-20,2017-04-20,2017-03-21
2016-08-15 19:22:00,25km,landslide,rain,small,above_road,78.412784,31.581485,2016-08-15,2016-07-16,2016-06-16
2016-08-16 12:40:00,25km,landslide,other,small,Unknown,95.399897,26.88161,2016-08-16,2016-07-17,2016-06-17
2017-05-20 20:14:00,25km,landslide,rain,large,natural_slope,79.49231617,30.73315585,2017-05-20,2017-04-20,2017-03-21
2017-05-24 20:14:00,10km,landslide,mining,medium,mine,67.458172,30.02715,2017-05-24,2017-04-24,2017-03-25
2017-06-21 13:15:00,25km,landslide,downpour,medium,natural_slope,75.23162006,33.63251807,2017-06-21,2017-05-22,2017-04-22
2017-05-22 20:14:00,1km,rock_fall,Unknown,small,above_road,-80.960781,37.335787,2017-05-22,2017-04-22,2017-03-23
2017-06-19 13:15:00,5km,rock_fall,rain,small,above_road,18.36915952,-34.06995509,2017-06-19,2017-05-20,2017-04-20
2017-06-12 13:27:00,5km,landslide,rain,small,above_road,74.66018578,13.90074546,2017-06-12,2017-05-13,2017-04-13
2017-05-25 20:14:00,5km,landslide,Unknown,medium,urban,80.15402093,6.519724975,2017-05-25,2017-04-25,2017-03-26
2016-08-18 12:40:00,5km,mudslide,rain,medium,urban,70.56256,39.978954,2016-08-18,2016-07-19,2016-06-19
2017-06-12 18:03:00,25km,rock_fall,Unknown,medium,above_road,-119.710017,37.72438031,2017-06-12,2017-05-13,2017-04-13
2017-06-13 13:27:00,25km,landslide,rain,medium,above_road,120.5927163,0.744821843,2017-06-13,2017-05-14,2017-04-14
2017-05-21 20:14:00,10km,rock_fall,Unknown,small,above_road,-105.3475523,40.43368578,2017-05-21,2017-04-21,2017-03-22
2017-06-08 13:27:00,5km,landslide,rain,small,above_road,-120.3239812,38.76361817,2017-06-08,2017-05-09,2017-04-09
